"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0.2,0.2,4096,0.12003453455073,0.0211952253456213,0.00299745751413316,0.114010918155981,0.126058150945479,12,-3.05847855857649,-3.13275610545131,-2.98783868872239,"sigma = 0.2"
0.2,0.2,8192,0.118622921634005,0.0162266202166155,0.00229479063818151,0.11401136719312,0.123234476074891,13,-3.07554528456053,-3.13275042334307,-3.02052217404765,"sigma = 0.2"
0.2,0.2,16384,0.114203348949006,0.0157572483608636,0.00222841143376145,0.109725188513583,0.118681509384429,14,-3.13032313734526,-3.18803334606253,-3.07483291472953,"sigma = 0.2"
0.2,0.2,32768,0.111525824960912,0.0150484257894249,0.00212816878437698,0.107249109671397,0.115802540250427,15,-3.16455027506447,-3.22096242364732,-3.11026119418112,"sigma = 0.2"
0.2,0.2,65536,0.104891591455467,0.0126011918741242,0.00178207764504521,0.101310372349342,0.108472810561591,16,-3.25302906474835,-3.30314620731392,-3.2045946281041,"sigma = 0.2"
0.2,0.2,131072,0.0992148804392884,0.014340403255584,0.00202803927739462,0.0951393829275107,0.103290377951066,17,-3.33329967474739,-3.39381352174057,-3.27522222915328,"sigma = 0.2"
0.3,0.3,16,0.185690404783208,0.0609444409287737,0.00861884549127177,0.168370186311305,0.203010623255111,4,-2.42902882635249,-2.57029139513345,-2.3003728713367,"sigma = 0.3"
0.3,0.3,32,0.14449982167101,0.037775434889446,0.00534225323451963,0.133764161860446,0.155235481481575,5,-2.79086038260783,-2.90223645448199,-2.68746974930144,"sigma = 0.3"
0.3,0.3,64,0.126471927446112,0.0358172591464469,0.0050653253651937,0.116292775024216,0.136651079868008,6,-2.98311090466174,-3.10416662628361,-2.8714312342647,"sigma = 0.3"
0.3,0.3,128,0.109268913938063,0.0231286758955548,0.00327088871312253,0.102695816976767,0.11584201089936,7,-3.19404506978042,-3.28355067613075,-3.10976954341926,"sigma = 0.3"
0.3,0.3,256,0.102971316102123,0.0196624093924548,0.00278068460317417,0.0973833211813172,0.108559311022928,8,-3.27968558156071,-3.36018148635283,-3.20344462512481,"sigma = 0.3"
0.3,0.3,512,0.0914281535914218,0.0178233973496872,0.00252060902594923,0.0863628001103898,0.0964935070724538,9,-3.45121770509909,-3.53344616966716,-3.37342432127507,"sigma = 0.3"
0.3,0.3,1024,0.0849038521858726,0.0157376922641742,0.00222564578404493,0.0804312495316348,0.0893764548401104,10,-3.55802617777053,-3.63610005671444,-3.4839613690967,"sigma = 0.3"
0.3,0.3,2048,0.0807454425109958,0.0123771763014843,0.00175039705894419,0.0772278879261977,0.0842629970957939,11,-3.63047535724171,-3.69473427353137,-3.56895695867943,"sigma = 0.3"
