"sigmaA","sigmaB","slope","intercept","sigma"
0.1,0.1,-0.00342409573404672,-2.29514660151587,0.1
0.2,0.2,-0.0670179519334919,-2.20996992197321,0.2
0.3,0.3,-0.145448702249847,-2.05638817351452,0.3
0.4,0.4,-0.23389223561099,-1.88586339495218,0.4
0.5,0.5,-0.335766367119505,-1.62285821017927,0.5
0.6,0.6,-0.448344956520975,-1.32120052638565,0.6
0.7,0.7,-0.563056448397023,-1.10896049557814,0.7
0.8,0.8,-0.695287851693724,-0.751723084675541,0.8
0.9,0.9,-0.833280717132407,-0.45816082373162,0.9
