"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0.25,0.25,256,0.118190556426557,0.0245125916922231,0.0034666039620056,0.111224154947576,0.125156957905537,8,-3.08081332790707,-3.1684579575566,-2.99818959725479,"sigma = 0.25"
0.25,0.25,512,0.119525802057416,0.0253807404934515,0.00358937874289111,0.112312675419024,0.126738928695808,9,-3.06460600821138,-3.15440733783254,-2.98006836906525,"sigma = 0.25"
0.25,0.25,1024,0.111145232457467,0.0210742823747299,0.00298035359516232,0.10515598767474,0.117134477240195,10,-3.16948202918089,-3.24939709414995,-3.09376231518399,"sigma = 0.25"
0.25,0.25,2048,0.0980599163761253,0.0165661096720101,0.00234280169739167,0.0933518800995427,0.102767952652708,11,-3.35019265845707,-3.42117711126569,-3.28253765289639,"sigma = 0.25"
0.25,0.25,4096,0.0954831913244986,0.014235541326124,0.00201320956111273,0.0914374952433346,0.0995288874056626,12,-3.38860940350705,-3.45107030557396,-3.32874087348227,"sigma = 0.25"
0.25,0.25,8192,0.0872898196283278,0.015507177667962,0.00219304609721611,0.0828827284974794,0.0916969107591763,13,-3.5180427836652,-3.59278469248157,-3.44698305908951,"sigma = 0.25"
0.25,0.25,16384,0.0834468672694516,0.0105706102303554,0.00149491003503283,0.0804427330813137,0.0864510014575896,14,-3.58299830027866,-3.63589409102711,-3.53197351347767,"sigma = 0.25"
0.25,0.25,32768,0.0776517358977065,0.0103561495876806,0.00146458072008624,0.0747085507498442,0.0805949210455687,15,-3.68683801348127,-3.7425828139837,-3.63316726433719,"sigma = 0.25"
0.25,0.25,65536,0.0717341181904406,0.0091544260993391,0.00129463135454276,0.0691324590791404,0.0743357773017409,16,-3.80119673281721,-3.85449294577026,-3.74979945259559,"sigma = 0.25"
0.25,0.25,131072,0.0656263620699179,0.00874687568649152,0.00123699502242278,0.063140527504405,0.0681121966354308,17,-3.9295807287772,-3.98528987614932,-3.87594302957078,"sigma = 0.25"
0.5,0.5,16,0.145005507084491,0.050342482058693,0.00711950208909278,0.13069833198556,0.159312682183421,4,-2.78582040228431,-2.93568736577786,-2.65006697683232,"sigma = 0.5"
0.5,0.5,32,0.104391128148278,0.0297092320292535,0.00420151988634595,0.0959478578263715,0.112834398470185,5,-3.25992898758067,-3.38160559323182,-3.14772114295683,"sigma = 0.5"
0.5,0.5,64,0.0748407460389444,0.0179250172951455,0.00253498025645671,0.0697465124889575,0.0799349795889314,6,-3.7400322498315,-3.84173510961678,-3.64502922434183,"sigma = 0.5"
