"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0.25,0.25,131072,0.0661242369135402,0.00864962609605758,0.000864962609605758,0.064407963441072,0.0678405103860084,17,-3.91867702143129,-3.95661711468528,-3.88170916597336,"sigma = 0.25"
0.5,0.5,16,0.149157773117135,0.0430940192594155,0.00430940192594155,0.140606984764482,0.157708561469787,4,-2.74508893152646,-2.83025983166619,-2.66466711354946,"sigma = 0.5"
0.5,0.5,32,0.0985856770982965,0.0302216722702477,0.00302216722702477,0.092589041655905,0.104582312540688,5,-3.34247812816371,-3.43301473585954,-3.25728921813562,"sigma = 0.5"
0.5,0.5,64,0.0753317068481076,0.0190010393757304,0.00190010393757304,0.0715614884053991,0.0791019252908161,6,-3.73059897182869,-3.80467279549898,-3.66014338036478,"sigma = 0.5"
0.5,0.5,128,0.0591657155574895,0.0133196249594452,0.00133196249594452,0.056522812994159,0.06180861812082,7,-4.07909476262256,-4.14502292311674,-4.01604817926118,"sigma = 0.5"
0.5,0.5,256,0.0490309122595573,0.0120916838639634,0.00120916838639634,0.0466316598499473,0.0514301646691673,8,-4.35016458539984,-4.42254640657626,-4.28124141685413,"sigma = 0.5"
0.5,0.5,512,0.0400913360202793,0.00859069621852288,0.000859069621852288,0.0383867555140071,0.0417959165265516,9,-4.64056569451814,-4.70324756242809,-4.58049419231715,"sigma = 0.5"
0.5,0.5,1024,0.032175930418258,0.00650509027084575,0.000650509027084575,0.0308851793795568,0.0334666814569592,10,-4.95787432290142,-5.01694147995937,-4.90113068873387,"sigma = 0.5"
0.5,0.5,2048,0.0252798303476489,0.00395009327340046,0.000395009327340046,0.0244960461443061,0.0260636145509918,11,-5.30586940811995,-5.35130728415216,-5.2618190163375,"sigma = 0.5"
0.5,0.5,4096,0.0205616169930231,0.00326637644559926,0.000326637644559926,0.0199134970416611,0.0212097369443852,12,-5.60390246531663,-5.650109592441,-5.55912946194654,"sigma = 0.5"
0.5,0.5,8192,0.0160095804207745,0.00224982029776729,0.000224982029776729,0.0155631672634892,0.0164559935780598,13,-5.96492069158951,-6.00572049639546,-5.92524305380988,"sigma = 0.5"
0.5,0.5,16384,0.0127247987733095,0.00164034592724083,0.000164034592724083,0.0123993185537798,0.0130502789928392,14,-6.29621334770118,-6.33359535513817,-6.25977554027588,"sigma = 0.5"
0.5,0.5,32768,0.0101356877889911,0.0014974399115983,0.00014974399115983,0.00983856322333353,0.0104328123546486,15,-6.62441219903611,-6.66733663799161,-6.5827280747563,"sigma = 0.5"
0.5,0.5,65536,0.00780002864593581,0.000910422010365926,9.10422010365926e-05,0.00761938116732926,0.00798067612454235,16,-7.00230486231878,-7.03611045532663,-6.96927330761255,"sigma = 0.5"
0.5,0.5,131072,0.00607121506469042,0.000759816862856957,7.59816862856956e-05,0.00592045091475222,0.00622197921462862,17,-7.36379900502197,-7.40007722574988,-7.32841070930157,"sigma = 0.5"
0.75,0.75,16,0.0949415939279576,0.0184561702772284,0.00184561702772284,0.0912794893354134,0.0986036985205018,4,-3.39681591910305,-3.45356546930641,-3.34221442819066,"sigma = 0.75"
0.75,0.75,32,0.0589206956609979,0.0140385261545622,0.00140385261545622,0.0561351475038808,0.0617062438181151,5,-4.0850817257834,-4.1549518315648,-4.01843971223671,"sigma = 0.75"
