"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0.5,0.5,8192,0.0160089013454124,0.00209013959941925,0.000295590376875177,0.0154148902437104,0.0166029124471145,13,-5.96498188741164,-6.01953157249431,-5.91241985154864,"sigma = 0.5"
0.5,0.5,16384,0.0124704322214837,0.00157307086732604,0.000222465815514649,0.0120233704275177,0.0129174940154497,14,-6.32534472035817,-6.37801481639896,-6.27452997439848,"sigma = 0.5"
0.5,0.5,32768,0.00974529033206286,0.00119006669494819,0.000168300846012425,0.00940707711952839,0.0100835035445973,15,-6.68107911771275,-6.73203775301542,-6.63185919496414,"sigma = 0.5"
0.5,0.5,65536,0.00757595765749556,0.000734772797667111,0.000103912565572365,0.00736713753889477,0.00778477777609636,16,-7.04435601714669,-7.08468010775904,-7.00512842787539,"sigma = 0.5"
0.5,0.5,131072,0.00609781581996032,0.000826417839634109,0.000116873131699763,0.00586295046861073,0.00633268117130991,17,-7.35749170919844,-7.4141574160552,-7.30296783815479,"sigma = 0.5"
0.75,0.75,16,0.10249028931996,0.0406293296556766,0.00574585490291852,0.090943561590917,0.114037017049002,4,-3.28644087016737,-3.45888468482425,-3.13242588765158,"sigma = 0.75"
0.75,0.75,32,0.057201695375,0.0118274870303198,0.00167265925670702,0.0538403607525665,0.0605630299974334,5,-4.12779828275606,-4.21516811314382,-4.04541880392072,"sigma = 0.75"
0.75,0.75,64,0.0392544001205867,0.0111038562474788,0.00157032240998257,0.0360987190911767,0.0424100811499968,6,-4.67100181153216,-4.79190854362053,-4.55944894629838,"sigma = 0.75"
0.75,0.75,128,0.0237681139725343,0.00609252699592324,0.000861613430675886,0.02203663695827,0.0254995909867985,7,-5.39482876148069,-5.50395212075815,-5.29338208332,"sigma = 0.75"
0.75,0.75,256,0.0157326809777426,0.00350579635930934,0.000495794475825349,0.0147363446764185,0.0167290172790667,8,-5.99009165101604,-6.08447747885551,-5.90150349085743,"sigma = 0.75"
0.75,0.75,512,0.00988127816254395,0.00180177923835062,0.000254810063527771,0.00936921816870722,0.0103933381563807,9,-6.66108661537278,-6.73785562004222,-6.58819709297479,"sigma = 0.75"
0.75,0.75,1024,0.00667415580101815,0.00139753717915421,0.000197641603268052,0.00627698012926415,0.00707133147277215,10,-7.22719891957837,-7.31571364280457,-7.14380239659933,"sigma = 0.75"
0.75,0.75,2048,0.00429091799402767,0.000687810643487303,9.7271114036431e-05,0.00409544437197209,0.00448639161608326,11,-7.86449795540989,-7.93176428616367,-7.80022872622588,"sigma = 0.75"
0.75,0.75,4096,0.00280065936924011,0.000453151820065092,6.40853449750105e-05,0.00267187504691545,0.00292944369156478,12,-8.4800177586548,-8.54793174444391,-8.41515756527809,"sigma = 0.75"
0.75,0.75,8192,0.00190221677230564,0.000310506887058345,4.39123050888162e-05,0.00181397169139389,0.00199046185321739,13,-9.03810262284305,-9.106632343131,-8.97268106191479,"sigma = 0.75"
0.75,0.75,16384,0.00119359458038483,0.000186628486048828,2.6393253609541e-05,0.00114055535150383,0.00124663380926584,14,-9.71047139461789,-9.7760478218767,-9.64774653973605,"sigma = 0.75"
0.75,0.75,32768,0.000757087749482008,8.1285733692647e-05,1.14955387015589e-05,0.000733986599569895,0.000780188899394122,15,-10.3672518555527,-10.4119586555961,-10.3238889078506,"sigma = 0.75"
0.75,0.75,65536,0.000506645340976486,6.87100493872955e-05,9.71706837148385e-06,0.00048711816099966,0.000526172520953311,16,-10.9467361862834,-11.0034406080407,-10.892176472968,"sigma = 0.75"
0.75,0.75,131072,0.000307151974697144,4.39023184931956e-05,6.20872542327004e-06,0.000294675073832406,0.000319628875561882,17,-11.6687597210511,-11.7285873495567,-11.6113146310203,"sigma = 0.75"
