"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0,0.5,65536,0.0783009814152133,0.00886061357038656,0.000886061357038656,0.0765428434504316,0.0800591193799951,16,-3.67482579957657,-3.70758869384227,-3.64279044306128,"sigma = 0.5"
0,0.5,131072,0.0761838252017554,0.00828493001825957,0.000828493001825957,0.0745399153432617,0.0778277350602492,17,-3.71437146211165,-3.74584300920979,-3.68357181729616,"sigma = 0.5"
0,0.75,16,0.161581547729167,0.0493722751134011,0.00493722751134011,0.151785017207327,0.171378078251007,4,-2.62966564011199,-2.71989870642316,-2.54474551531567,"sigma = 0.75"
0,0.75,32,0.130471075301287,0.0403266161445382,0.00403266161445382,0.122469399765876,0.138472750836698,5,-2.93819808996691,-3.02950677276831,-2.85232598937471,"sigma = 0.75"
0,0.75,64,0.0997778769791856,0.0197824619430752,0.00197824619430752,0.0958526073460293,0.103703146612342,6,-3.3251362170027,-3.38303851370785,-3.26946842510316,"sigma = 0.75"
0,0.75,128,0.089230189516726,0.0178013054432337,0.00178013054432337,0.0856980243146428,0.0927623547188092,7,-3.48632428571307,-3.54459424499731,-3.43031674734545,"sigma = 0.75"
0,0.75,256,0.077932954646701,0.0128509162657112,0.00128509162657112,0.0753830540569168,0.0804828552364852,8,-3.68162267596975,-3.72961594447378,-3.63517470219529,"sigma = 0.75"
0,0.75,512,0.070438819239531,0.0114729502971065,0.00114729502971065,0.0681623369931083,0.0727153014859537,9,-3.82748546418809,-3.87488138956061,-3.78159720726563,"sigma = 0.75"
0,0.75,1024,0.0643958347244728,0.00887615277263906,0.000887615277263906,0.0626346134448387,0.066157056004107,10,-3.95688881535856,-3.99689604308714,-3.91796115391693,"sigma = 0.75"
0,0.75,2048,0.0584652328392841,0.00970210442400143,0.000970210442400143,0.0565401248328676,0.0603903408457006,11,-4.09627722868709,-4.14458112132866,-4.04953837413801,"sigma = 0.75"
0,0.75,4096,0.0529863273048361,0.00726247100735418,0.000726247100735418,0.0515452954965164,0.0544273591131558,12,-4.23823605791581,-4.27801542995178,-4.19952415346893,"sigma = 0.75"
0,0.75,8192,0.0490677277874551,0.00645785477596802,0.000645785477596802,0.0477863492957191,0.050349106279191,13,-4.34908172467937,-4.38725763466452,-4.311890019845,"sigma = 0.75"
0,0.75,16384,0.0454210926443936,0.00614493888869251,0.000614493888869251,0.044201803453453,0.0466403818353342,14,-4.46049377801245,-4.49975095635091,-4.42227659013665,"sigma = 0.75"
0,0.75,32768,0.04249152882974,0.00454169603870489,0.000454169603870489,0.0415903578028449,0.0433926998566351,15,-4.55668093754728,-4.58760709319706,-4.52640383757715,"sigma = 0.75"
0,0.75,65536,0.038978058949934,0.00472878089413591,0.000472878089413591,0.0380397662288858,0.0399163516709822,16,-4.68119394148343,-4.71634780954532,-4.64687632447808,"sigma = 0.75"
0,0.75,131072,0.0362625011902535,0.00423734041306752,0.000423734041306752,0.0354217209225284,0.0371032814579786,17,-4.7853777519975,-4.81922188434539,-4.75230940363485,"sigma = 0.75"
